,IndicatorName
173,Race and ethnicity
174,Graduated high school
175,Limited English
176,Rent-burdened households
177,Unemployment
178,Secondhand smoke at home (from outside sources)
179,Youth asthma (past 12 months)
180,West Nile virus
181,NYC agency use of fungicides
182,Evictions (court-ordered)
183,"NYC agency use of ""Best Practice"" products"
184,NYC agency use of glyphosate
185,NYC agency use of herbicides
186,NYC agency use of insecticides
187,NYC agency use of rodenticides
188,NYC agency use of mosquito control
189,Assault hospitalizations (non-fatal)
190,Cold stress: deaths
191,Households using electric medical equipment
192,"Asthma emergency department visits (age 4 and under), by NTA"
193,Asthma emergency department visits (age 5 to 17)
194,Asthma emergency department visits (adults)
195,Asthma hospitalizations (age 5 to 17)
196,Asthma hospitalizations (adults)
197,"Asthma emergency department visits (age 5 to 17), by NTA"
198,"Asthma emergency department visits (adults), by NTA"
199,"Asthma hospitalizations (age 4 and under), by NTA"
200,"Asthma hospitalizations (age 5 to 17), by NTA"
201,"Asthma hospitalizations (adults), by NTA"
202,Walking distance to a park
203,Unhealthy food access
204,Bicycle network coverage
205,Walking distance to a subway station
206,Children ever diagnosed with asthma
207,Children in homes with cockroaches (age 1-13)
208,Children in homes with mice (age 1-13)
209,Children in homes with cracks or holes (age 1-13)
210,Children in homes with supplemental heat (age 13 and under)
211,Carbon monoxide deaths
212,Renter-occupied homes with any health-related maintenance problems
213,Assault emergency department visits (non-fatal)
214,Postponing health care
215,Homes with reported falls (age 65+)
216,Carbon monoxide emergency department visits
217,Carbon monoxide hospitalizations
218,Home fall-related emergency department visits (age 65+)
219,Home fall-related hospitalizations (age 65+)
220,Heat stress: hospitalizations
221,Heat vulnerability index (NTA)
222,Adults with asthma
223,Commuting modes
224,Litter basket coverage
225,Tobacco retailers
226,Average Citi Bike availability
227,Citi Bike stations
